market,target,fold_pair_label,top10_overlap_pct,rank_corr
KR,cc,58_vs_59,90.0,0.913
KR,cc,59_vs_60,100.0,0.9338
KR,cc,60_vs_61,90.0,0.9442
KR,cc,61_vs_62,80.0,0.8065
KR,cc,62_vs_63,70.0,0.8039
KR,cc,63_vs_64,80.0,0.8429
KR,cc,64_vs_65,80.0,0.7506
KR,cc,65_vs_66,90.0,0.9234
KR,cc,66_vs_67,90.0,0.9325
KR,cc,67_vs_68,90.0,0.7987
KR,cc,68_vs_69,90.0,0.8377
KR,cc,69_vs_70,80.0,0.8571
KR,cc,70_vs_71,90.0,0.813
KR,cc,71_vs_72,80.0,0.9117
KR,cc,72_vs_73,80.0,0.8208
KR,cc,73_vs_74,90.0,0.9338
