date,market,ticker,btc_corr,adv_usd,rank
2022-12-01,HK,0772.HK,0.136514016915927,16072940.213782053,3
2022-12-01,HK,3690.HK,0.13639545007835255,900228475.6929489,4
2022-12-01,HK,6618.HK,0.13384559187976813,76560772.549359,5
2022-12-01,HK,6060.HK,0.11663438348128337,10679137.265641028,6
2022-12-01,HK,9618.HK,0.11363022022459478,286722595.7288462,7
2022-12-01,HK,1810.HK,0.10735137016026566,141526747.54679486,8
2022-12-01,HK,0700.HK,0.1003310639171956,1389982074.3397439,9
2022-12-01,HK,2018.HK,0.08219268713717305,28871585.57384615,10
2022-12-01,HK,2382.HK,0.07507769107992814,75823606.53525642,11
2022-12-01,HK,3888.HK,0.06940523671537525,23667962.632692307,12
2022-12-01,HK,9999.HK,0.06522649866116222,126156731.67476399,13
2022-12-01,HK,0285.HK,0.05958910686883526,33826458.37275641,14
2022-12-01,HK,0388.HK,0.05840842131678588,299300921.58076924,15
2022-12-01,HK,1024.HK,0.05497452108401265,251705010.66538468,16
2022-12-01,HK,2400.HK,0.005866747203047026,9952025.706538465,17
2022-12-01,HK,9961.HK,0.0035539174656856174,48455709.60384617,18
2022-12-01,HK,1357.HK,-0.013009382380033139,4835648.164871795,19
2022-12-01,HK,9626.HK,-0.014730270032365971,71830967.0092949,20
2022-12-01,HK,3913.HK,-0.029681282840242063,6544943.336666668,21
2022-12-01,HK,1478.HK,-0.07556430188430574,1255968.0448076925,22
2022-12-01,HK,1347.HK,-0.0974985256725553,50747050.3698718,23
2022-12-01,HK,0522.HK,-0.14614508115331276,7174878.374358976,24
2023-01-03,HK,0285.HK,0.20610045899203505,27637391.64615385,1
2023-01-03,HK,6060.HK,0.15600399093997327,11010364.42339744,2
2023-01-03,HK,0772.HK,0.15552577015226743,18781247.6849359,3
2023-01-03,HK,6618.HK,0.14999618909225837,148187872.53237182,4
2023-01-03,HK,9888.HK,0.14473556537062335,113467533.87628207,5
2023-01-03,HK,3690.HK,0.13664773440075392,732673759.5839746,6
2023-01-03,HK,2018.HK,0.1177594162131322,10696326.45051282,7
2023-01-03,HK,1810.HK,0.10260631680566097,133763216.71320513,8
2023-01-03,HK,9626.HK,0.10208014633150775,119125791.73076925,9
2023-01-03,HK,9618.HK,0.101479277947151,227289101.23974362,10
2023-01-03,HK,0700.HK,0.09854390036690826,1163165369.2294874,11
2023-01-03,HK,0388.HK,0.08118215968977284,241469335.37435898,12
2023-01-03,HK,2400.HK,0.06774193363318404,12760470.518269232,13
2023-01-03,HK,1833.HK,0.06399672141593478,107516707.5791275,14
2023-01-03,HK,3888.HK,0.06181267200794407,20279705.375,15
2023-01-03,HK,9999.HK,0.05930505147850705,99477229.01089746,16
2023-01-03,HK,1024.HK,0.055524541130729785,288124305.0240385,17
2023-01-03,HK,9961.HK,0.022053100719601468,70754783.68717948,18
2023-01-03,HK,2382.HK,0.018061107997437917,85411664.23237179,19
2023-01-03,HK,1357.HK,-0.0060763419743380545,10123845.92371795,20
2023-01-03,HK,0522.HK,-0.006197890202342186,6864990.307051283,21
2023-01-03,HK,1347.HK,-0.024254900980848218,52214855.83301283,22
2023-01-03,HK,1478.HK,-0.030656963528013538,1018119.8987179488,23
2023-01-03,HK,3913.HK,-0.06959568971449114,8221739.33051282,24
2023-02-01,HK,0285.HK,0.23073173592194693,18016273.07403846,1
2023-02-01,HK,6060.HK,0.21807961162757866,13632064.863141026,2
2023-02-01,HK,2018.HK,0.19725876547548085,21001725.11589744,3
2023-02-01,HK,9888.HK,0.1868609514653996,127005725.30064106,4
2023-02-01,HK,0772.HK,0.13528487809779838,26309995.143589746,5
2023-02-01,HK,0700.HK,0.12427551768751609,1387599765.8615384,6
2023-02-01,HK,9618.HK,0.11408795051987723,253272310.6615385,7
2023-02-01,HK,3690.HK,0.10520569629999857,800920581.8153847,8
2023-02-01,HK,6618.HK,0.10141472299489643,54747093.33301282,9
2023-02-01,HK,9999.HK,0.08511805286702713,110340478.69615385,10
2023-02-01,HK,9626.HK,0.08191282434463917,78818760.5897436,11
2023-02-01,HK,1810.HK,0.07690338174995281,127058452.8394872,12
2023-02-01,HK,1833.HK,0.06736758815499731,27519535.16536342,13
2023-02-01,HK,9961.HK,0.0657104419727593,50497383.10256411,14
2023-02-01,HK,0388.HK,0.061190003351605946,235994475.27692318,15
2023-02-01,HK,0522.HK,0.060943241409108465,5791756.405448719,16
2023-02-01,HK,2400.HK,0.02829804398174297,23087520.68108975,17
2023-02-01,HK,2382.HK,0.00854976178343814,100564297.3669872,18
2023-02-01,HK,3888.HK,-0.003307114706551102,21154335.075961538,19
2023-02-01,HK,1024.HK,-0.005035370940197809,243034690.2073718,20
2023-02-01,HK,1357.HK,-0.027337255722281465,10658394.709679488,21
2023-02-01,HK,3913.HK,-0.03862600378803917,3619567.382115385,22
2023-02-01,HK,1347.HK,-0.05749801273428462,30264655.312820517,23
2023-02-01,HK,1478.HK,-0.14062684527150845,1557017.0494871796,24
2023-03-01,HK,9888.HK,0.2746400992520974,323724251.94166666,1
2023-03-01,HK,3690.HK,0.1778167452167449,684463606.223077,2
2023-03-01,HK,1347.HK,0.16264142423993305,25583409.333653845,3
2023-03-01,HK,9618.HK,0.1545188112513604,273459030.35769236,4
2023-03-01,HK,9999.HK,0.1499727219957318,110199229.18974361,5
2023-03-01,HK,0388.HK,0.14635144431657454,192858716.71282053,6
2023-03-01,HK,9961.HK,0.14233436189423831,38036268.63333334,7
2023-03-01,HK,6060.HK,0.14072348452397404,10957108.54294872,8
2023-03-01,HK,0522.HK,0.1211948327738726,9056477.624358976,9
2023-03-01,HK,0285.HK,0.1204563324381853,16336653.092628205,10
2023-03-01,HK,2018.HK,0.11097891377339227,12007856.486025643,11
2023-03-01,HK,0772.HK,0.10824903261936271,15297021.583012823,12
2023-03-01,HK,0700.HK,0.1052870205888594,1085950622.6,13
2023-03-01,HK,6618.HK,0.08518131325309525,50527752.86891026,14
2023-03-01,HK,1024.HK,0.08185825756257532,184266803.27243593,15
2023-03-01,HK,9626.HK,0.0816894357176418,61983568.621153854,16
2023-03-01,HK,1833.HK,0.05090886722867044,16976442.618404515,17
2023-03-01,HK,1810.HK,0.032527144518309375,144472731.8798718,18
2023-03-01,HK,1357.HK,-0.03644758826268842,53052606.51974359,19
2023-03-01,HK,3913.HK,-0.037668684705767376,1407521.9412820511,20
2023-03-01,HK,1478.HK,-0.045176376946366496,776670.6994871798,21
2023-03-01,HK,2400.HK,-0.05247973165555225,12261546.905448718,22
2023-03-01,HK,3888.HK,-0.08060276592914564,28934977.511858977,23
2023-03-01,HK,2382.HK,-0.09142332777567076,77724893.50480771,24
2023-04-03,HK,9888.HK,0.4018846750478043,256526642.69487175,1
2023-04-03,HK,9961.HK,0.38324470025095897,64532812.85256412,2
2023-04-03,HK,3690.HK,0.3298059055242582,685534189.05,3
2023-04-03,HK,0700.HK,0.30227777775983844,1170023618.3641028,4
2023-04-03,HK,9626.HK,0.2694114573390582,97554255.78589745,5
2023-04-03,HK,0388.HK,0.2631944215190995,189882975.52820516,6
2023-04-03,HK,1347.HK,0.257354574171185,31932863.20064103,7
2023-04-03,HK,9999.HK,0.2554194668190126,90149726.08205129,8
2023-04-03,HK,3888.HK,0.21872233269029834,74089158.23108976,9
2023-04-03,HK,0772.HK,0.20204464240349496,28832339.857692312,10
2023-04-03,HK,1024.HK,0.18918830449728147,163917295.424359,11
2023-04-03,HK,1810.HK,0.17579643759715277,123094000.84551282,12
2023-04-03,HK,6618.HK,0.17568864110710083,64029101.85512821,13
2023-04-03,HK,0285.HK,0.16824389768112058,22313700.764102567,14
2023-04-03,HK,1478.HK,0.16674671973769997,671812.3278205129,15
2023-04-03,HK,9618.HK,0.15886989616973057,294329426.7391026,16
2023-04-03,HK,3913.HK,0.15875662240515878,1649927.7121153849,17
2023-04-03,HK,2382.HK,0.14891589654736556,71266597.92339745,18
2023-04-03,HK,6060.HK,0.12831360080856433,10402213.73621795,19
2023-04-03,HK,1833.HK,0.11051191550086638,23688881.4083179,20
2023-04-03,HK,2400.HK,0.09779362588021392,8841568.433653848,21
2023-04-03,HK,2018.HK,0.08395727264074868,14161970.136794874,22
2023-04-03,HK,0522.HK,0.08334302091266242,10641408.055769235,23
2023-04-03,HK,1357.HK,0.01775760926112637,32485305.40166668,24
2023-05-02,HK,9888.HK,0.3748054759751741,161166655.6326923,1
2023-05-02,HK,9961.HK,0.28440016511791205,34078371.30897437,2
2023-05-02,HK,9626.HK,0.2829508971239404,63780012.02948718,3
2023-05-02,HK,3690.HK,0.2610130131562831,512870523.63269246,4
2023-05-02,HK,0388.HK,0.25132593623106875,153162636.7294872,5
2023-05-02,HK,0700.HK,0.2468427997977677,948879732.8756412,6
2023-05-02,HK,1024.HK,0.22519624677241362,163653726.5214744,7
2023-05-02,HK,9999.HK,0.21820197167417837,82230880.07179488,8
2023-05-02,HK,3888.HK,0.21059811760519312,74697090.80352566,9
2023-05-02,HK,0772.HK,0.2005989781207534,26532765.824358977,10
2023-05-02,HK,2382.HK,0.19728291689830083,56088140.4195513,11
2023-05-02,HK,1810.HK,0.18399194197503915,90734376.24089745,12
2023-05-02,HK,2400.HK,0.161444070001788,9767457.297115384,13
2023-05-02,HK,6618.HK,0.15062865896934396,35370313.635897435,14
2023-05-02,HK,1347.HK,0.14555642147733747,41637608.632692315,15
2023-05-02,HK,3913.HK,0.11530274501732785,1640500.6375641027,16
2023-05-02,HK,0285.HK,0.11437365209366676,18243155.10288462,17
2023-05-02,HK,9618.HK,0.09422850585647007,226124677.4307693,18
