universe,model,target,strategy,gate,gross_pnl,spread_cost,impact_cost,borrow_cost,residual,net_pnl,source
index_kr,lgbm,gap,index_threshold,gate_off,3.1595596925610376,0.3044,0.0,0.0048412698412698,-4.718447854656915e-16,2.8503184227197678,pass2
index_kr,lgbm,intraday,index_threshold,gate_on,0.2387876890142719,0.1444,0.0,0.0038690476190476,-1.3877787807814457e-17,0.09051864139522428,pass2
index_kr,lgbm,intraday,index_threshold,gate_off,-0.2021825578174922,0.212,0.0,0.0054563492063492,1.0234868508263162e-16,-0.4196389070238414,pass2
index_kr,lgbm,cc,index_threshold,gate_on,0.7906193363102366,0.148,0.0,0.0026190476190476,9.80118763926896e-17,0.640000288691189,pass2
index_kr,lgbm,cc,index_threshold,gate_off,1.168866131180569,0.2,0.0,0.0033730158730158,1.782428371566169e-16,0.9654931153075533,pass2
main_hk,tcn,gap,tercile_ls,gate_on,1.2744919172375184,2.637667261904762,0.5159121044210047,0.2176587301587301,-1.1102230246251563e-16,-2.096746179246978,pass2
main_hk,tcn,gap,tercile_lo,gate_on,0.7954591568268056,5.275334523809524,1.031824208842009,0.0,4.440892098500626e-16,-5.511699575824727,pass2
main_hk,tcn,gap,tercile_ls,gate_off,1.432218201682979,3.763483928571429,0.7415574029968828,0.3023809523809524,6.661338147750939e-16,-3.3752040822662854,pass2
main_hk,tcn,gap,tercile_lo,gate_off,0.869216473484568,7.526967857142857,1.4831148059937656,0.0,-8.881784197001252e-16,-8.140866189652055,pass2
main_hk,tcn,intraday,tercile_ls,gate_on,0.4449296748809345,2.584336904761905,0.4804023306173419,0.2176587301587301,-1.1102230246251563e-16,-2.8374682906570423,pass2
