date,market,ticker,adv_usd,rank
2023-12-01,KR,069960.KQ,3685282.8607316143,20
2023-12-01,KR,002790.KS,3492527.226882783,21
2023-12-01,KR,053800.KQ,3084160.1426656484,22
2023-12-01,KR,030000.KS,2923504.880180187,23
2023-12-01,KR,138930.KS,2607242.274833875,24
2023-12-01,KR,114090.KQ,2595198.4310019314,25
2023-12-01,KR,030520.KQ,2543215.938345865,26
2023-12-01,KR,180640.KQ,2425096.758016917,27
2023-12-01,KR,194700.KQ,2415911.021171875,28
2023-12-01,KR,036460.KQ,2398133.0481507727,29
2023-12-01,KR,218410.KS,1294027.7798463202,30
2024-01-02,KR,005380.KS,59454096.44462582,1
2024-01-02,KR,036540.KQ,42255494.68383459,2
2024-01-02,KR,009150.KS,35922046.401637115,3
2024-01-02,KR,122870.KQ,31363164.782419093,4
2024-01-02,KR,035900.KQ,30277956.21695871,5
2024-01-02,KR,034020.KS,29158552.78045113,6
2024-01-02,KR,086790.KS,22751319.159389835,7
2024-01-02,KR,012330.KS,22107134.958899204,8
2024-01-02,KR,259960.KS,21427743.23449072,9
2024-01-02,KR,000990.KS,20096736.484649174,10
2024-01-02,KR,215600.KQ,17483588.915413536,11
2024-01-02,KR,034220.KS,16090663.888201255,12
2024-01-02,KR,079370.KQ,15758741.06041677,13
2024-01-02,KR,047810.KS,15316006.676651934,14
2024-01-02,KR,003490.KS,14506537.07172734,15
2024-01-02,KR,024110.KS,8689611.03110124,16
2024-01-02,KR,020150.KQ,8077489.78181905,17
2024-01-02,KR,180640.KQ,6154255.522796347,18
2024-01-02,KR,032640.KQ,5125393.833497085,19
2024-01-02,KR,053800.KQ,4429935.787498532,20
2024-01-02,KR,030000.KS,4336062.716850476,21
2024-01-02,KR,138930.KS,3522495.5984008787,22
2024-01-02,KR,036460.KQ,3465652.274085703,23
2024-01-02,KR,002790.KS,3008644.3571810387,24
2024-01-02,KR,069960.KQ,2764122.995669937,25
2024-01-02,KR,218410.KS,2643412.712368935,26
2024-01-02,KR,194700.KQ,2465355.1619715183,27
2024-01-02,KR,030520.KQ,1951412.6368421055,28
2024-01-02,KR,078890.KQ,1848562.2450922593,29
2024-01-02,KR,114090.KQ,1465481.1261141992,30
2024-02-01,KR,030520.KQ,99904215.63909774,1
2024-02-01,KR,036540.KQ,75736999.98834586,2
2024-02-01,KR,005380.KS,60808909.440871716,3
2024-02-01,KR,035900.KQ,41340613.82298872,4
2024-02-01,KR,009150.KS,29035056.043732375,5
2024-02-01,KR,086790.KS,28697868.521491133,6
2024-02-01,KR,012330.KS,25484813.46316847,7
2024-02-01,KR,047810.KS,22419587.24475065,8
2024-02-01,KR,034020.KS,20871793.57443609,9
2024-02-01,KR,034220.KS,19054138.188745998,10
2024-02-01,KR,079370.KQ,15697726.13381645,11
2024-02-01,KR,259960.KS,15633808.919194665,12
2024-02-01,KR,122870.KQ,11531329.255639099,13
2024-02-01,KR,003490.KS,11410300.877477972,14
2024-02-01,KR,067000.KQ,7754684.865601504,15
2024-02-01,KR,180640.KQ,7736515.811303452,16
2024-02-01,KR,000990.KS,7709910.120347157,17
2024-02-01,KR,024110.KS,6682155.659115734,18
2024-02-01,KR,032640.KQ,6528371.682370441,19
2024-02-01,KR,078890.KQ,6369170.151282362,20
2024-02-01,KR,036460.KQ,4612662.018951333,21
2024-02-01,KR,020150.KQ,4097213.5018796986,22
2024-02-01,KR,069960.KQ,4054399.2312793704,23
2024-02-01,KR,218410.KS,3744427.6279318156,24
2024-02-01,KR,138930.KS,3572805.3677981086,25
2024-02-01,KR,053800.KQ,3550214.5572619536,26
2024-02-01,KR,215600.KQ,3370807.92518797,27
2024-02-01,KR,002790.KS,2903151.8247211296,28
2024-02-01,KR,030000.KS,2359048.7607513657,29
2024-02-01,KR,114090.KQ,1440036.4641527035,30
2024-03-04,KR,005380.KS,382530114.22220755,1
2024-03-04,KR,086790.KS,90126033.92662199,2
2024-03-04,KR,030520.KQ,58769901.078947365,3
2024-03-04,KR,012330.KS,55221545.76439674,4
2024-03-04,KR,009150.KS,32852906.565734845,5
2024-03-04,KR,034020.KS,31556298.56165413,6
2024-03-04,KR,035900.KQ,31479218.30239808,7
2024-03-04,KR,079370.KQ,30780863.937593985,8
2024-03-04,KR,047810.KS,22704238.82693345,9
2024-03-04,KR,024110.KS,20893095.158554543,10
2024-03-04,KR,259960.KS,18621788.57106673,11
2024-03-04,KR,036460.KQ,18503361.974691246,12
2024-03-04,KR,180640.KQ,17369963.12360873,13
2024-03-04,KR,078890.KQ,16385701.433921728,14
2024-03-04,KR,003490.KS,15125411.78763951,15
2024-03-04,KR,036540.KQ,13749417.124812031,16
2024-03-04,KR,034220.KS,11662695.780075189,17
2024-03-04,KR,138930.KS,9793567.7628022,18
2024-03-04,KR,000990.KS,8984323.846215785,19
2024-03-04,KR,032640.KQ,8445994.178188147,20
2024-03-04,KR,069960.KQ,8017193.481069667,21
2024-03-04,KR,122870.KQ,5348368.255639098,22
2024-03-04,KR,020150.KQ,4190307.050751879,23
2024-03-04,KR,215600.KQ,4162663.023684211,24
2024-03-04,KR,002790.KS,4003258.9222051958,25
2024-03-04,KR,030000.KS,2948278.629361637,26
2024-03-04,KR,114090.KQ,2851874.032385492,27
2024-03-04,KR,053800.KQ,2839386.401659422,28
2024-03-04,KR,067000.KQ,2685858.652631579,29
2024-03-04,KR,218410.KS,2146445.345144429,30
2024-04-01,KR,005380.KS,193439875.36324367,1
2024-04-01,KR,034020.KS,88097928.2800752,2
2024-04-01,KR,086790.KS,66645029.26560489,3
2024-04-01,KR,012330.KS,52956817.15929923,4
2024-04-01,KR,009150.KS,47730444.10364427,5
2024-04-01,KR,035900.KQ,33758135.33533042,6
2024-04-01,KR,259960.KS,24174803.533049226,7
2024-04-01,KR,047810.KS,23173161.88069079,8
2024-04-01,KR,024110.KS,21953346.63393669,9
2024-04-01,KR,079370.KQ,18266289.92819549,10
2024-04-01,KR,020150.KQ,14976908.889097746,11
2024-04-01,KR,030520.KQ,12572208.996240603,12
2024-04-01,KR,034220.KS,11730059.743609022,13
2024-04-01,KR,003490.KS,11029990.855927441,14
2024-04-01,KR,000990.KS,9092261.537413212,15
2024-04-01,KR,122870.KQ,8501469.0056391,16
2024-04-01,KR,138930.KS,8325521.0076745525,17
2024-04-01,KR,036540.KQ,7908869.388345865,18
2024-04-01,KR,032640.KQ,7587098.270440665,19
2024-04-01,KR,192250.KQ,6994129.6974115595,20
2024-04-01,KR,180640.KQ,5816813.4527533185,21
2024-04-01,KR,215600.KQ,5157654.032330828,22
2024-04-01,KR,036460.KQ,4424156.51530391,23
2024-04-01,KR,041590.KQ,4306907.922676699,24
2024-04-01,KR,083930.KQ,3583830.1302395887,25
2024-04-01,KR,078890.KQ,3353674.342941932,26
2024-04-01,KR,030000.KS,3019256.3114530225,27
2024-04-01,KR,053800.KQ,2547340.0045587113,28
2024-04-01,KR,002790.KS,2502192.640852767,29
2024-04-01,KR,069960.KQ,2360619.3842478273,30
2024-05-02,KR,005380.KS,190027963.5354711,1
2024-05-02,KR,009150.KS,53600338.07669878,2
2024-05-02,KR,086790.KS,47815618.69443418,3
2024-05-02,KR,034020.KS,39840728.79962406,4
2024-05-02,KR,259960.KS,35661623.19547228,5
2024-05-02,KR,012330.KS,32437310.984880757,6
2024-05-02,KR,030520.KQ,26179565.191729322,7
2024-05-02,KR,047810.KS,20790266.588336907,8
2024-05-02,KR,035900.KQ,19063817.350845426,9
2024-05-02,KR,020150.KQ,10806387.42481203,10
2024-05-02,KR,024110.KS,10766478.822305422,11
2024-05-02,KR,003490.KS,10169438.158345353,12
2024-05-02,KR,034220.KS,10046896.30075188,13
2024-05-02,KR,000990.KS,9464222.956816994,14
2024-05-02,KR,079370.KQ,9027047.458646616,15
2024-05-02,KR,053800.KQ,8962807.293771883,16
2024-05-02,KR,036540.KQ,6796787.797368422,17
2024-05-02,KR,122870.KQ,5756313.877819549,18
2024-05-02,KR,032640.KQ,5663991.29465589,19
2024-05-02,KR,002790.KS,5407364.200036052,20
2024-05-02,KR,138930.KS,5342203.853712094,21
2024-05-02,KR,083930.KQ,4295726.537665024,22
2024-05-02,KR,036460.KQ,4082467.7719659745,23
2024-05-02,KR,215600.KQ,3126736.666729324,24
2024-05-02,KR,114090.KQ,2676382.8182185446,25
2024-05-02,KR,180640.KQ,2369373.9915190325,26
2024-05-02,KR,069960.KQ,2192239.4324274557,27
2024-05-02,KR,030000.KS,2188625.01144612,28
2024-05-02,KR,192250.KQ,1555079.306345674,29
2024-05-02,KR,218410.KS,1192383.934022373,30
2024-06-03,KR,034020.KS,180078885.4364662,1
2024-06-03,KR,005380.KS,159895970.93315494,2
2024-06-03,KR,030520.KQ,92624223.53383458,3
2024-06-03,KR,009150.KS,45295589.51273849,4
2024-06-03,KR,086790.KS,38031520.02572839,5
2024-06-03,KR,035900.KQ,31191150.311853267,6
2024-06-03,KR,047810.KS,30512166.89691509,7
2024-06-03,KR,259960.KS,29399209.12702303,8
2024-06-03,KR,012330.KS,29034622.7638992,9
2024-06-03,KR,020150.KQ,11924180.855263157,10
2024-06-03,KR,079370.KQ,10200811.47819549,11
2024-06-03,KR,024110.KS,9797270.722902887,12
2024-06-03,KR,003490.KS,9380512.732124943,13
2024-06-03,KR,000990.KS,8914574.273281839,14
2024-06-03,KR,034220.KS,8081726.681578947,15
2024-06-03,KR,002790.KS,7731039.693486182,16
2024-06-03,KR,032640.KQ,4952487.058407763,17
2024-06-03,KR,036460.KQ,4838400.2344884435,18
2024-06-03,KR,122870.KQ,4691928.95112782,19
2024-06-03,KR,138930.KS,4315183.557294004,20
2024-06-03,KR,083930.KQ,4082170.0466006077,21
2024-06-03,KR,218410.KS,3459002.5890237316,22
2024-06-03,KR,180640.KQ,3392862.206676163,23
2024-06-03,KR,036540.KQ,3239587.1022556396,24
2024-06-03,KR,078890.KQ,3222552.1099287407,25
2024-06-03,KR,215600.KQ,3189632.4902255638,26
2024-06-03,KR,069960.KQ,2698728.474129171,27
2024-06-03,KR,030000.KS,2620069.8841215344,28
2024-06-03,KR,053800.KQ,1788091.2112046226,29
2024-06-03,KR,114090.KQ,1599342.690322633,30
2024-07-01,KR,036460.KQ,323462231.3830005,1
2024-07-01,KR,005380.KS,190910041.78702888,2
2024-07-01,KR,034020.KS,147762304.84210527,3
2024-07-01,KR,000990.KS,63266803.37140022,4
2024-07-01,KR,012330.KS,58893886.65903489,5
2024-07-01,KR,009150.KS,46566744.62725917,6
2024-07-01,KR,259960.KS,34992095.851829186,7
2024-07-01,KR,086790.KS,30260434.1131184,8
2024-07-01,KR,020150.KQ,23321955.257518798,9
2024-07-01,KR,034220.KS,23287449.94849624,10
2024-07-01,KR,047810.KS,20708778.75247415,11
2024-07-01,KR,003490.KS,19067723.305850346,12
2024-07-01,KR,035900.KQ,13997490.27621549,13
2024-07-01,KR,030520.KQ,10597889.94736842,14
2024-07-01,KR,024110.KS,7646942.038625618,15
2024-07-01,KR,079370.KQ,7461684.590977445,16
2024-07-01,KR,002790.KS,5937583.163363855,17
2024-07-01,KR,032640.KQ,5183514.252438506,18
2024-07-01,KR,180640.KQ,4095174.4770416776,19
2024-07-01,KR,036540.KQ,4026998.879699249,20
2024-07-01,KR,122870.KQ,3260518.9342105268,21
2024-07-01,KR,138930.KS,3214597.6492017335,22
2024-07-01,KR,083930.KQ,2866229.8182590753,23
2024-07-01,KR,030000.KS,2841615.4845758565,24
2024-07-01,KR,194700.KQ,2498662.7145460816,25
2024-07-01,KR,215600.KQ,2409032.1926691732,26
2024-07-01,KR,069960.KQ,1903022.3954211704,27
2024-07-01,KR,101000.KQ,1407081.9015037594,28
2024-07-01,KR,218410.KS,1318716.1886941597,29
2024-07-01,KR,114090.KQ,1275245.4526679248,30
2024-08-01,KR,034020.KS,231267688.97481203,1
2024-08-01,KR,005380.KS,150051784.93332532,2
2024-08-01,KR,036460.KQ,102201962.26668116,3
2024-08-01,KR,009150.KS,76885740.95489898,4
2024-08-01,KR,086790.KS,43028306.11340035,5
2024-08-01,KR,047810.KS,36879697.59565863,6
2024-08-01,KR,012330.KS,26874030.9076586,7
2024-08-01,KR,000990.KS,24331968.086509928,8
2024-08-01,KR,034220.KS,20625913.98533835,9
2024-08-01,KR,259960.KS,19719255.92892035,10
2024-08-01,KR,035900.KQ,15770282.455481235,11
2024-08-01,KR,053280.KQ,13245900.074352229,12
2024-08-01,KR,003490.KS,11183315.533065379,13
2024-08-01,KR,024110.KS,10698985.303917963,14
2024-08-01,KR,020150.KQ,9057221.387218043,15
2024-08-01,KR,138930.KS,6131805.399277931,16
2024-08-01,KR,030520.KQ,4994864.262406016,17
2024-08-01,KR,002790.KS,4761123.492672844,18
2024-08-01,KR,032640.KQ,4380056.2150774645,19
2024-08-01,KR,079370.KQ,3917718.9146616547,20
2024-08-01,KR,122870.KQ,3736242.639097744,21
2024-08-01,KR,030000.KS,3250647.8535480057,22
2024-08-01,KR,215600.KQ,2747836.7765037594,23
2024-08-01,KR,036540.KQ,2260133.382518797,24
2024-08-01,KR,180640.KQ,2021646.8935464635,25
2024-08-01,KR,114090.KQ,1588450.398411801,26
2024-08-01,KR,069960.KQ,1409149.4447117306,27
